Id,VehicleType,RemainingBatteryPercentage,EntryPoint,ExitPoint
1,V7,93,A4,A6
2,V3,86,A7,A8
3,V8,77,A3,A5
4,V1,98,A6,A9
5,V9,30,A7,A9
6,V7,92,A9,A10
7,V3,65,A7,A8
8,V7,27,A3,A4
9,V3,24,A4,A8
10,V3,87,A3,A8
11,V2,93,A5,A9
12,V3,71,A6,A9
13,V10,25,A9,A10
14,V8,49,A5,A10
15,V4,77,A5,A6
16,V1,69,A8,A10
17,V3,55,A6,A9
18,V7,93,A7,A8
19,V4,91,A1,A3
20,V2,55,A8,A9
21,V4,71,A4,A9
22,V2,83,A6,A9
23,V6,50,A9,A10
24,V1,29,A3,A8
25,V6,77,A1,A3
26,V2,57,A1,A9
27,V8,96,A6,A9
28,V4,73,A2,A6
29,V5,53,A9,A10
30,V3,78,A7,A10
31,V2,22,A1,A7
32,V1,80,A9,A10
33,V7,61,A1,A9
34,V4,77,A9,A10
35,V7,28,A9,A10
36,V3,45,A8,A10
37,V9,81,A5,A7
38,V8,26,A3,A9
39,V8,22,A3,A5
40,V5,86,A2,A8
41,V4,89,A1,A5
42,V3,42,A9,A10
43,V1,50,A3,A8
44,V8,63,A2,A3
45,V5,59,A5,A7
46,V4,71,A3,A4
47,V4,36,A2,A3
48,V9,54,A9,A10
49,V6,40,A6,A7
50,V6,36,A4,A7
51,V9,54,A6,A7
52,V4,67,A9,A10
53,V3,28,A9,A10
54,V3,96,A5,A8
55,V9,67,A6,A8
56,V2,85,A5,A9
57,V10,94,A5,A9
58,V9,20,A7,A8
59,V10,38,A1,A5
60,V9,88,A6,A10
61,V10,34,A2,A10
62,V4,82,A4,A5
63,V10,49,A8,A10
64,V9,51,A9,A10
65,V9,31,A6,A10
66,V10,31,A8,A9
67,V4,59,A9,A10
68,V6,60,A4,A9
69,V2,52,A2,A6
70,V7,66,A2,A5
71,V1,78,A6,A9
72,V4,87,A2,A8
73,V2,71,A3,A8
74,V10,60,A3,A6
75,V9,28,A2,A8
76,V6,57,A8,A9
77,V8,32,A8,A10
78,V5,33,A3,A5
79,V5,99,A5,A9
80,V1,29,A4,A10
81,V4,34,A3,A4
82,V9,48,A6,A9
83,V5,88,A4,A7
84,V10,59,A3,A9
85,V5,72,A6,A8
86,V8,69,A6,A7
87,V9,59,A6,A10
88,V4,44,A7,A10
89,V6,97,A2,A4
90,V9,63,A9,A10
91,V4,22,A7,A8
92,V3,35,A1,A7
93,V3,45,A4,A8
94,V9,36,A8,A10
95,V2,56,A9,A10
96,V1,54,A7,A8
97,V4,92,A6,A8
98,V2,54,A4,A9
99,V8,66,A9,A10
100,V4,20,A6,A8
101,V2,90,A6,A7
102,V10,99,A3,A8
103,V1,72,A9,A10
104,V9,34,A5,A9
105,V4,32,A4,A8
106,V8,99,A4,A9
107,V7,87,A4,A7
108,V1,53,A6,A9
109,V2,51,A3,A10
110,V5,67,A1,A2
111,V1,98,A5,A10
112,V10,89,A3,A6
113,V1,55,A6,A7
114,V4,79,A5,A7
115,V5,41,A8,A9
116,V10,58,A7,A9
117,V9,80,A3,A8
118,V9,32,A9,A10
119,V9,30,A6,A10
120,V5,68,A9,A10
121,V2,58,A5,A7
122,V4,37,A6,A9
123,V2,98,A1,A9
124,V1,75,A8,A10
125,V3,97,A2,A8
126,V7,75,A8,A10
127,V4,52,A8,A9
128,V7,74,A7,A8
129,V5,90,A2,A6
130,V3,51,A5,A7
131,V2,48,A6,A7
132,V10,79,A7,A8
133,V3,79,A2,A8
134,V3,87,A2,A4
135,V10,57,A2,A10
136,V9,96,A9,A10
137,V9,95,A7,A9
138,V4,95,A3,A8
139,V8,36,A8,A9
140,V6,27,A7,A9
141,V7,32,A4,A6
142,V3,57,A3,A7
143,V6,92,A1,A5
144,V3,44,A1,A8
145,V3,59,A2,A8
146,V6,78,A2,A4
147,V3,35,A7,A8
148,V9,93,A7,A8
149,V1,57,A6,A7
150,V8,96,A4,A7
151,V2,58,A5,A10
152,V6,44,A7,A9
153,V10,23,A5,A7
154,V1,43,A5,A8
155,V4,81,A4,A5
156,V9,37,A5,A6
157,V4,54,A5,A10
158,V7,35,A4,A5
159,V8,74,A7,A10
160,V3,35,A1,A5
161,V3,95,A4,A6
162,V8,36,A6,A9
163,V5,37,A2,A4
164,V5,93,A2,A5
165,V2,42,A5,A9
166,V10,86,A1,A2
167,V4,53,A6,A7
168,V7,55,A6,A8
169,V9,99,A3,A7
170,V3,80,A7,A10
171,V10,29,A5,A8
172,V2,27,A1,A3
173,V8,39,A7,A10
174,V6,56,A5,A9
175,V2,29,A2,A10
176,V1,48,A5,A8
177,V7,52,A2,A6
178,V2,49,A7,A9
179,V8,70,A1,A2
180,V4,51,A6,A8
181,V7,42,A9,A10
182,V9,48,A7,A9
183,V2,56,A5,A8
184,V10,68,A5,A6
185,V3,26,A9,A10
186,V9,59,A1,A3
187,V5,70,A7,A8
188,V6,34,A5,A7
189,V9,53,A5,A9
190,V9,94,A2,A10
191,V4,77,A1,A6
192,V8,92,A5,A8
193,V9,57,A7,A9
194,V5,28,A3,A6
195,V7,36,A5,A7
196,V3,95,A7,A9
197,V9,20,A8,A9
198,V8,31,A4,A5
199,V9,82,A1,A7
200,V2,39,A1,A6
