ChargingStation,DistanceFromStart
C1,4
C2,10
C3,21
C4,33
C5,41
C6,59
C7,68
C8,70
C9,81
C10,90
C11,102
C12,112
C13,129
C14,134
C15,147
C16,157
C17,164
C18,175
C19,188
C20,196
C21,206
C22,219
C23,222
C24,230
C25,246
C26,253
C27,263
C28,276
C29,281
C30,292
C31,300
C32,319
C33,325
C34,335
C35,345
C36,351
C37,365
C38,374
C39,381
C40,399
C41,401
C42,417
C43,428
C44,439
C45,447
C46,451
C47,468
C48,473
C49,486
C50,499
C51,505
C52,512
C53,526
C54,531
C55,546
C56,556
C57,562
C58,576
C59,585
C60,595
C61,601
C62,618
C63,622
C64,638
C65,643
C66,656
C67,669
C68,677
C69,682
C70,690
C71,705
C72,715
C73,729
C74,730
C75,744
C76,757
C77,767
C78,776
C79,786
C80,790
C81,804
C82,811
C83,820
C84,833
C85,849
C86,859
C87,863
C88,870
C89,882
C90,896
C91,902
C92,914
C93,929
C94,934
C95,947
C96,956
C97,961
C98,979
C99,980
C100,999
