VehicleType,ChargingStation,TimeToChargePerUnit
V1,C1,480
V1,C2,480
V1,C3,540
V1,C4,300
V1,C5,420
V1,C6,540
V1,C7,540
V1,C8,300
V1,C9,540
V1,C10,540
V1,C11,540
V1,C12,420
V1,C13,420
V1,C14,480
V1,C15,420
V1,C16,420
V1,C17,480
V1,C18,420
V1,C19,300
V1,C20,540
V1,C21,480
V1,C22,480
V1,C23,540
V1,C24,480
V1,C25,540
V1,C26,420
V1,C27,480
V1,C28,540
V1,C29,480
V1,C30,360
V1,C31,300
V1,C32,420
V1,C33,300
V1,C34,360
V1,C35,480
V1,C36,300
V1,C37,480
V1,C38,300
V1,C39,480
V1,C40,300
V1,C41,480
V1,C42,480
V1,C43,540
V1,C44,420
V1,C45,480
V1,C46,540
V1,C47,540
V1,C48,300
V1,C49,540
V1,C50,420
V1,C51,420
V1,C52,480
V1,C53,480
V1,C54,420
V1,C55,420
V1,C56,360
V1,C57,360
V1,C58,360
V1,C59,300
V1,C60,420
V1,C61,480
V1,C62,360
V1,C63,300
V1,C64,360
V1,C65,480
V1,C66,420
V1,C67,300
V1,C68,420
V1,C69,420
V1,C70,300
V1,C71,360
V1,C72,360
V1,C73,360
V1,C74,480
V1,C75,360
V1,C76,420
V1,C77,420
V1,C78,480
V1,C79,420
V1,C80,540
V1,C81,300
V1,C82,420
V1,C83,420
V1,C84,540
V1,C85,300
V1,C86,300
V1,C87,420
V1,C88,420
V1,C89,420
V1,C90,360
V1,C91,540
V1,C92,360
V1,C93,480
V1,C94,300
V1,C95,360
V1,C96,420
V1,C97,300
V1,C98,480
V1,C99,540
V1,C100,540
V1,C101,540
V1,C102,360
V1,C103,300
V1,C104,480
V1,C105,480
V1,C106,540
V1,C107,540
V1,C108,300
V1,C109,480
V1,C110,480
V1,C111,480
V1,C112,300
V1,C113,420
V1,C114,540
V1,C115,480
V1,C116,420
V1,C117,420
V1,C118,540
V1,C119,360
V1,C120,540
V1,C121,360
V1,C122,420
V1,C123,540
V1,C124,420
V1,C125,540
V1,C126,360
V1,C127,300
V1,C128,480
V1,C129,360
V1,C130,480
V1,C131,300
V1,C132,540
V1,C133,420
V1,C134,360
V1,C135,420
V1,C136,480
V1,C137,420
V1,C138,480
V1,C139,480
V1,C140,360
V1,C141,480
V1,C142,540
V1,C143,420
V1,C144,540
V1,C145,360
V1,C146,420
V1,C147,420
V1,C148,360
V1,C149,480
V1,C150,540
V1,C151,420
V1,C152,480
V1,C153,420
V1,C154,540
V1,C155,420
V1,C156,300
V1,C157,540
V1,C158,360
V1,C159,540
V1,C160,540
V1,C161,420
V1,C162,480
V1,C163,540
V1,C164,480
V1,C165,420
V1,C166,540
V1,C167,420
V1,C168,360
V1,C169,360
V1,C170,540
V1,C171,300
V1,C172,420
V1,C173,480
V1,C174,360
V1,C175,480
V1,C176,300
V1,C177,480
V1,C178,480
V1,C179,360
V1,C180,300
V1,C181,420
V1,C182,480
V1,C183,480
V1,C184,360
V1,C185,300
V1,C186,480
V1,C187,480
V1,C188,480
V1,C189,360
V1,C190,420
V1,C191,540
V1,C192,480
V1,C193,300
V1,C194,480
V1,C195,360
V1,C196,360
V1,C197,540
V1,C198,540
V1,C199,480
V1,C200,540
V2,C1,480
V2,C2,540
V2,C3,360
V2,C4,300
V2,C5,420
V2,C6,360
V2,C7,360
V2,C8,360
V2,C9,480
V2,C10,420
V2,C11,480
V2,C12,360
V2,C13,540
V2,C14,540
V2,C15,300
V2,C16,540
V2,C17,360
V2,C18,300
V2,C19,360
V2,C20,540
V2,C21,420
V2,C22,420
V2,C23,420
V2,C24,480
V2,C25,480
V2,C26,360
V2,C27,420
V2,C28,300
V2,C29,360
V2,C30,360
V2,C31,300
V2,C32,300
V2,C33,420
V2,C34,300
V2,C35,300
V2,C36,480
V2,C37,420
V2,C38,300
V2,C39,420
V2,C40,300
V2,C41,420
V2,C42,360
V2,C43,540
V2,C44,420
V2,C45,360
V2,C46,480
V2,C47,360
V2,C48,480
V2,C49,480
V2,C50,480
V2,C51,420
V2,C52,420
V2,C53,300
V2,C54,360
V2,C55,540
V2,C56,360
V2,C57,540
V2,C58,480
V2,C59,360
V2,C60,540
V2,C61,420
V2,C62,300
V2,C63,480
V2,C64,360
V2,C65,300
V2,C66,540
V2,C67,360
V2,C68,300
V2,C69,420
V2,C70,360
V2,C71,480
V2,C72,480
V2,C73,540
V2,C74,300
V2,C75,420
V2,C76,480
V2,C77,420
V2,C78,300
V2,C79,420
V2,C80,300
V2,C81,420
V2,C82,420
V2,C83,300
V2,C84,480
V2,C85,420
V2,C86,420
V2,C87,480
V2,C88,300
V2,C89,360
V2,C90,360
V2,C91,480
V2,C92,540
V2,C93,420
V2,C94,480
V2,C95,540
V2,C96,360
V2,C97,300
V2,C98,540
V2,C99,420
V2,C100,360
V2,C101,480
V2,C102,360
V2,C103,420
V2,C104,420
V2,C105,300
V2,C106,540
V2,C107,540
V2,C108,300
V2,C109,540
V2,C110,360
V2,C111,420
V2,C112,480
V2,C113,360
V2,C114,480
V2,C115,540
V2,C116,300
V2,C117,360
V2,C118,300
V2,C119,540
V2,C120,420
V2,C121,360
V2,C122,360
V2,C123,360
V2,C124,360
V2,C125,540
V2,C126,300
V2,C127,300
V2,C128,360
V2,C129,300
V2,C130,360
V2,C131,300
V2,C132,420
V2,C133,300
V2,C134,360
V2,C135,360
V2,C136,420
V2,C137,360
V2,C138,300
V2,C139,480
V2,C140,480
V2,C141,360
V2,C142,540
V2,C143,360
V2,C144,360
V2,C145,300
V2,C146,540
V2,C147,540
V2,C148,300
V2,C149,360
V2,C150,420
V2,C151,420
V2,C152,360
V2,C153,420
V2,C154,360
V2,C155,420
V2,C156,420
V2,C157,300
V2,C158,300
V2,C159,540
V2,C160,540
V2,C161,420
V2,C162,300
V2,C163,360
V2,C164,360
V2,C165,540
V2,C166,300
V2,C167,540
V2,C168,300
V2,C169,420
V2,C170,480
V2,C171,300
V2,C172,540
V2,C173,420
V2,C174,420
V2,C175,540
V2,C176,300
V2,C177,480
V2,C178,420
V2,C179,540
V2,C180,420
V2,C181,540
V2,C182,420
V2,C183,360
V2,C184,300
V2,C185,300
V2,C186,540
V2,C187,360
V2,C188,360
V2,C189,540
V2,C190,480
V2,C191,300
V2,C192,360
V2,C193,480
V2,C194,540
V2,C195,360
V2,C196,360
V2,C197,420
V2,C198,360
V2,C199,540
V2,C200,480
V3,C1,540
V3,C2,420
V3,C3,360
V3,C4,540
V3,C5,360
V3,C6,480
V3,C7,420
V3,C8,420
V3,C9,360
V3,C10,360
V3,C11,300
V3,C12,480
V3,C13,540
V3,C14,480
V3,C15,360
V3,C16,300
V3,C17,480
V3,C18,420
V3,C19,480
V3,C20,300
V3,C21,420
V3,C22,300
V3,C23,360
V3,C24,300
V3,C25,300
V3,C26,360
V3,C27,360
V3,C28,360
V3,C29,480
V3,C30,480
V3,C31,480
V3,C32,300
V3,C33,300
V3,C34,360
V3,C35,360
V3,C36,420
V3,C37,360
V3,C38,420
V3,C39,480
V3,C40,420
V3,C41,300
V3,C42,420
V3,C43,480
V3,C44,480
V3,C45,540
V3,C46,300
V3,C47,540
V3,C48,300
V3,C49,480
V3,C50,480
V3,C51,480
V3,C52,480
V3,C53,300
V3,C54,360
V3,C55,540
V3,C56,540
V3,C57,480
V3,C58,360
V3,C59,420
V3,C60,300
V3,C61,480
V3,C62,480
V3,C63,420
V3,C64,420
V3,C65,300
V3,C66,420
V3,C67,480
V3,C68,540
V3,C69,540
V3,C70,420
V3,C71,540
V3,C72,480
V3,C73,300
V3,C74,420
V3,C75,360
V3,C76,360
V3,C77,540
V3,C78,300
V3,C79,480
V3,C80,480
V3,C81,420
V3,C82,420
V3,C83,300
V3,C84,540
V3,C85,360
V3,C86,360
V3,C87,540
V3,C88,420
V3,C89,480
V3,C90,420
V3,C91,360
V3,C92,360
V3,C93,540
V3,C94,540
V3,C95,420
V3,C96,420
V3,C97,420
V3,C98,480
V3,C99,480
V3,C100,300
V3,C101,480
V3,C102,300
V3,C103,480
V3,C104,480
V3,C105,480
V3,C106,540
V3,C107,480
V3,C108,540
V3,C109,480
V3,C110,300
V3,C111,300
V3,C112,360
V3,C113,540
V3,C114,360
V3,C115,540
V3,C116,480
V3,C117,540
V3,C118,420
V3,C119,300
V3,C120,300
V3,C121,480
V3,C122,540
V3,C123,420
V3,C124,420
V3,C125,360
V3,C126,420
V3,C127,540
V3,C128,540
V3,C129,480
V3,C130,360
V3,C131,360
V3,C132,540
V3,C133,420
V3,C134,420
V3,C135,300
V3,C136,360
V3,C137,420
V3,C138,420
V3,C139,480
V3,C140,360
V3,C141,480
V3,C142,480
V3,C143,300
V3,C144,480
V3,C145,300
V3,C146,360
V3,C147,360
V3,C148,300
V3,C149,300
V3,C150,540
V3,C151,300
V3,C152,360
V3,C153,360
V3,C154,420
V3,C155,420
V3,C156,480
V3,C157,420
V3,C158,360
V3,C159,480
V3,C160,300
V3,C161,420
V3,C162,480
V3,C163,360
V3,C164,300
V3,C165,360
V3,C166,480
V3,C167,480
V3,C168,540
V3,C169,420
V3,C170,300
V3,C171,480
V3,C172,540
V3,C173,540
V3,C174,420
V3,C175,300
V3,C176,540
V3,C177,360
V3,C178,300
V3,C179,360
V3,C180,300
V3,C181,540
V3,C182,540
V3,C183,480
V3,C184,300
V3,C185,480
V3,C186,300
V3,C187,300
V3,C188,300
V3,C189,480
V3,C190,360
V3,C191,480
V3,C192,360
V3,C193,540
V3,C194,300
V3,C195,540
V3,C196,420
V3,C197,300
V3,C198,540
V3,C199,420
V3,C200,540
V4,C1,360
V4,C2,300
V4,C3,360
V4,C4,300
V4,C5,420
V4,C6,480
V4,C7,360
V4,C8,300
V4,C9,300
V4,C10,480
V4,C11,540
V4,C12,420
V4,C13,420
V4,C14,420
V4,C15,300
V4,C16,420
V4,C17,480
V4,C18,420
V4,C19,480
V4,C20,360
V4,C21,420
V4,C22,480
V4,C23,420
V4,C24,540
V4,C25,480
V4,C26,420
V4,C27,540
V4,C28,300
V4,C29,360
V4,C30,360
V4,C31,420
V4,C32,300
V4,C33,300
V4,C34,540
V4,C35,540
V4,C36,480
V4,C37,420
V4,C38,420
V4,C39,420
V4,C40,540
V4,C41,360
V4,C42,480
V4,C43,480
V4,C44,360
V4,C45,420
V4,C46,300
V4,C47,540
V4,C48,480
V4,C49,420
V4,C50,480
V4,C51,300
V4,C52,360
V4,C53,540
V4,C54,540
V4,C55,300
V4,C56,420
V4,C57,420
V4,C58,480
V4,C59,300
V4,C60,420
V4,C61,300
V4,C62,540
V4,C63,480
V4,C64,480
V4,C65,360
V4,C66,540
V4,C67,420
V4,C68,360
V4,C69,480
V4,C70,480
V4,C71,480
V4,C72,540
V4,C73,420
V4,C74,480
V4,C75,300
V4,C76,420
V4,C77,300
V4,C78,540
V4,C79,420
V4,C80,480
V4,C81,540
V4,C82,540
V4,C83,360
V4,C84,360
V4,C85,360
V4,C86,300
V4,C87,480
V4,C88,420
V4,C89,360
V4,C90,420
V4,C91,360
V4,C92,540
V4,C93,360
V4,C94,360
V4,C95,420
V4,C96,480
V4,C97,540
V4,C98,480
V4,C99,300
V4,C100,360
V4,C101,420
V4,C102,420
V4,C103,360
V4,C104,480
V4,C105,360
V4,C106,480
V4,C107,540
V4,C108,300
V4,C109,360
V4,C110,540
V4,C111,300
V4,C112,480
V4,C113,480
V4,C114,300
V4,C115,420
V4,C116,480
V4,C117,420
V4,C118,480
V4,C119,540
V4,C120,360
V4,C121,480
V4,C122,540
V4,C123,360
V4,C124,540
V4,C125,540
V4,C126,420
V4,C127,300
V4,C128,300
V4,C129,480
V4,C130,480
V4,C131,480
V4,C132,540
V4,C133,420
V4,C134,300
V4,C135,420
V4,C136,360
V4,C137,540
V4,C138,480
V4,C139,360
V4,C140,540
V4,C141,540
V4,C142,300
V4,C143,480
V4,C144,540
V4,C145,300
V4,C146,540
V4,C147,300
V4,C148,360
V4,C149,420
V4,C150,360
V4,C151,480
V4,C152,480
V4,C153,540
V4,C154,480
V4,C155,360
V4,C156,480
V4,C157,420
V4,C158,480
V4,C159,420
V4,C160,420
V4,C161,300
V4,C162,420
V4,C163,300
V4,C164,360
V4,C165,420
V4,C166,300
V4,C167,300
V4,C168,300
V4,C169,300
V4,C170,300
V4,C171,360
V4,C172,360
V4,C173,540
V4,C174,300
V4,C175,480
V4,C176,360
V4,C177,300
V4,C178,300
V4,C179,480
V4,C180,360
V4,C181,360
V4,C182,540
V4,C183,540
V4,C184,480
V4,C185,420
V4,C186,360
V4,C187,480
V4,C188,540
