Id,VehicleType,RemainingBatteryPercentage,EntryPoint,ExitPoint
1,V2,22,A3,A8
2,V4,47,A8,A10
3,V1,25,A2,A6
4,V5,22,A9,A10
5,V2,54,A7,A8
6,V4,58,A4,A5
7,V1,77,A5,A10
8,V5,46,A8,A10
9,V5,78,A1,A9
10,V2,74,A5,A6
11,V5,73,A2,A3
12,V4,45,A2,A7
13,V2,20,A3,A9
14,V2,90,A2,A9
15,V5,23,A8,A9
16,V4,36,A9,A10
17,V5,54,A7,A8
18,V3,72,A4,A5
19,V4,96,A6,A9
20,V3,53,A6,A8
21,V2,37,A8,A9
22,V4,63,A9,A10
23,V4,74,A6,A7
24,V1,57,A1,A7
25,V4,30,A3,A10
26,V3,60,A4,A5
27,V4,40,A6,A8
28,V3,74,A5,A7
29,V3,45,A1,A10
30,V1,82,A2,A9
31,V4,91,A8,A9
32,V3,34,A4,A6
33,V2,23,A2,A6
34,V1,31,A6,A7
35,V3,89,A7,A8
36,V4,52,A4,A8
37,V2,29,A6,A9
38,V4,22,A1,A6
39,V2,84,A9,A10
40,V3,35,A2,A9
41,V5,58,A2,A7
42,V5,89,A6,A7
43,V2,37,A5,A8
44,V3,50,A6,A10
45,V5,96,A2,A9
46,V5,92,A8,A10
47,V3,67,A9,A10
48,V3,88,A6,A10
49,V5,82,A9,A10
50,V5,81,A1,A6
51,V2,60,A1,A10
52,V2,83,A3,A8
53,V2,53,A1,A6
54,V2,55,A5,A9
55,V5,97,A5,A6
56,V4,68,A3,A9
57,V2,61,A8,A10
58,V3,32,A3,A9
59,V2,32,A8,A10
60,V2,94,A3,A5
61,V1,87,A1,A3
62,V2,82,A1,A8
63,V4,29,A3,A6
64,V4,78,A8,A10
65,V5,61,A5,A10
66,V4,77,A7,A10
67,V2,84,A8,A10
68,V5,95,A8,A10
69,V4,84,A3,A5
70,V1,81,A3,A10
71,V3,61,A6,A8
72,V5,86,A8,A9
73,V1,78,A5,A7
74,V5,21,A6,A8
75,V2,61,A2,A6
76,V2,98,A4,A6
77,V1,78,A3,A5
78,V2,31,A4,A7
79,V5,67,A3,A7
80,V4,34,A8,A10
81,V3,94,A7,A9
82,V2,57,A3,A5
83,V5,54,A4,A7
84,V5,71,A4,A6
85,V1,46,A1,A3
86,V4,64,A8,A10
87,V4,33,A9,A10
88,V5,75,A5,A10
89,V3,29,A5,A8
90,V3,33,A8,A9
91,V3,92,A5,A9
92,V4,77,A9,A10
93,V4,21,A8,A9
94,V5,39,A2,A6
95,V2,21,A9,A10
96,V2,75,A7,A10
97,V3,59,A9,A10
98,V3,41,A7,A10
99,V3,93,A9,A10
100,V3,59,A6,A10
